Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,8354.71,100256.52,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,141,1692,USD,,"Hosted Zones (2), Additional Records in Hosted Zones (10000), Basic Checks Within AWS (300), Number of Elastic Network Interfaces (), IP (CIDR) blocks (1000)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,0,0,USD,,
My Estimate,US East (N. Virginia),,S3 Standard,0,115,1380,USD,,S3 Standard storage (5000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,,
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,2370.56,28446.72,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 16), Advance EC2 instance (m5.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1090.84,13090.08,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (20 GB), Quantity (1), Instance type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0,USD,,Working days per month (22)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,954.45,11453.4,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,,"DT Inbound: Internet (100 TB per month), DT Outbound: Not selected (50 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,1476.43,17717.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,2206.43,26477.16,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (500 GB per hour)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,0,0,USD,,"Number of Metrics (includes detailed and custom metrics) (), GetMetricData: Number of metrics requested (), GetMetricWidgetImage: Number of metrics requested (), Number of other API requests ()"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
